0,q1_22-10_50GB_pyarr,q2_22-10_50GB_pyarr,q3_22-10_50GB_pyarr_p2p,q7_22-10_50GB_pyarr_p2p,q9_22-10_50GB_pyarr
0 days 00:00:21.500849152,2796109824.0,2772656128.0,12683337728.0,14250205184.0,4977033216.0
0 days 00:00:21.500915968,2796109824.0,2772656128.0,12683337728.0,14250205184.0,5354762240.0
0 days 00:00:22.000063232,2796109824.0,4079583232.0,12683337728.0,14250205184.0,5354762240.0
0 days 00:00:22.000235008,2752950272.0,4079583232.0,12683337728.0,14250205184.0,5354762240.0
0 days 00:00:22.000638976,2752950272.0,4079583232.0,12683337728.0,11983048704.0,5354762240.0
0 days 00:00:22.000678656,2752950272.0,4079583232.0,13232009216.0,11983048704.0,5354762240.0
0 days 00:00:22.000948736,2752950272.0,4079583232.0,13232009216.0,11983048704.0,5645160448.0
0 days 00:00:22.500296192,2752950272.0,3656351744.0,13232009216.0,11983048704.0,5645160448.0
0 days 00:00:22.500419072,2752950272.0,3656351744.0,13232009216.0,12349140992.0,5645160448.0
0 days 00:00:22.500460800,2752950272.0,3656351744.0,13510553600.0,12349140992.0,5645160448.0
0 days 00:00:22.500835072,2479566848.0,3656351744.0,13510553600.0,12349140992.0,5645160448.0
0 days 00:00:22.500904960,2479566848.0,3656351744.0,13510553600.0,12349140992.0,5559382016.0
0 days 00:00:23.000008192,2479566848.0,3186036736.0,13510553600.0,12349140992.0,5559382016.0
0 days 00:00:23.000206080,3192594432.0,3186036736.0,13510553600.0,12349140992.0,5559382016.0
0 days 00:00:23.000212992,3192594432.0,3186036736.0,13510553600.0,13420720128.0,5559382016.0
0 days 00:00:23.000476928,3192594432.0,3186036736.0,13510553600.0,13420720128.0,6066311168.0
0 days 00:00:23.000849920,3192594432.0,3186036736.0,13970501632.0,13420720128.0,6066311168.0
0 days 00:00:23.500116224,3192594432.0,3186036736.0,13970501632.0,13733904384.0,6066311168.0
0 days 00:00:23.500403200,3192594432.0,3282948096.0,13970501632.0,13733904384.0,6066311168.0
0 days 00:00:23.500628736,3192594432.0,3282948096.0,14060064768.0,13733904384.0,6066311168.0
0 days 00:00:23.500975104,2790031360.0,3282948096.0,14060064768.0,13733904384.0,6066311168.0
0 days 00:00:23.501069824,2790031360.0,3282948096.0,14060064768.0,13733904384.0,6232432640.0
0 days 00:00:24.000200192,2790031360.0,3282948096.0,14060064768.0,13929336832.0,6232432640.0
0 days 00:00:24.000225280,2790031360.0,4150804480.0,14060064768.0,13929336832.0,6232432640.0
0 days 00:00:24.000305920,2790031360.0,4150804480.0,14060064768.0,13929336832.0,6281445376.0
0 days 00:00:24.000366848,2790031360.0,4150804480.0,14672465920.0,13929336832.0,6281445376.0
0 days 00:00:24.000697088,2509189120.0,4150804480.0,14672465920.0,13929336832.0,6281445376.0
0 days 00:00:24.500173568,2509189120.0,4150804480.0,13661409280.0,13929336832.0,6281445376.0
0 days 00:00:24.500420096,2509189120.0,4150804480.0,13661409280.0,13929336832.0,6449987584.0
0 days 00:00:24.500526080,2509189120.0,4150804480.0,13661409280.0,15186690048.0,6449987584.0
0 days 00:00:24.500772096,2509189120.0,2980933632.0,13661409280.0,15186690048.0,6449987584.0
0 days 00:00:24.501017088,3022323712.0,2980933632.0,13661409280.0,15186690048.0,6449987584.0
0 days 00:00:25.000099072,3022323712.0,2980933632.0,13661409280.0,15140982784.0,6449987584.0
0 days 00:00:25.000181760,3022323712.0,2980933632.0,14427066368.0,15140982784.0,6449987584.0
0 days 00:00:25.000314112,3022323712.0,3623948288.0,14427066368.0,15140982784.0,6449987584.0
0 days 00:00:25.000429056,2830385152.0,3623948288.0,14427066368.0,15140982784.0,6449987584.0
0 days 00:00:25.000910848,2830385152.0,3623948288.0,14427066368.0,15140982784.0,6563254272.0
0 days 00:00:25.500096,2779234304.0,3623948288.0,14427066368.0,15140982784.0,6563254272.0
0 days 00:00:25.500103168,2779234304.0,3623948288.0,14427066368.0,15349022720.0,6563254272.0
0 days 00:00:25.500261120,2779234304.0,3782529024.0,14427066368.0,15349022720.0,6563254272.0
0 days 00:00:25.500273920,2779234304.0,3782529024.0,14676840448.0,15349022720.0,6563254272.0
0 days 00:00:25.500466944,2779234304.0,3782529024.0,14676840448.0,15349022720.0,6796525568.0
0 days 00:00:26.000068864,2779234304.0,3782529024.0,14676840448.0,15349022720.0,6686892032.0
0 days 00:00:26.000119296,2779234304.0,3760177152.0,14676840448.0,15349022720.0,6686892032.0
0 days 00:00:26.000339968,2868473856.0,3760177152.0,14676840448.0,15349022720.0,6686892032.0
0 days 00:00:26.000618752,2868473856.0,3760177152.0,14647525376.0,15349022720.0,6686892032.0
0 days 00:00:26.000920064,2868473856.0,3760177152.0,14647525376.0,15536386048.0,6686892032.0
0 days 00:00:26.500004608,2868473856.0,3760177152.0,15564918784.0,15536386048.0,6686892032.0
0 days 00:00:26.500319744,2868473856.0,3760177152.0,15564918784.0,15536386048.0,7036461056.0
0 days 00:00:26.500435968,2820390912.0,3760177152.0,15564918784.0,15536386048.0,7036461056.0
0 days 00:00:26.500687104,2820390912.0,3466174464.0,15564918784.0,15536386048.0,7036461056.0
0 days 00:00:26.501890048,2820390912.0,3466174464.0,15564918784.0,17077407744.0,7036461056.0
0 days 00:00:27.000129792,2820390912.0,3466174464.0,15855382528.0,17077407744.0,7036461056.0
0 days 00:00:27.000502016,2852052992.0,3466174464.0,15855382528.0,17077407744.0,7036461056.0
0 days 00:00:27.000530944,2852052992.0,3466174464.0,15855382528.0,17077407744.0,7244541952.0
0 days 00:00:27.000834048,2852052992.0,3466174464.0,15855382528.0,16361070592.0,7244541952.0
0 days 00:00:27.000843264,2852052992.0,4215345152.0,15855382528.0,16361070592.0,7244541952.0
0 days 00:00:27.500194560,2852052992.0,4215345152.0,16569118720.0,16361070592.0,7244541952.0
0 days 00:00:27.500321024,2852052992.0,4215345152.0,16569118720.0,16220356608.0,7244541952.0
0 days 00:00:27.500513024,2610151424.0,4215345152.0,16569118720.0,16220356608.0,7244541952.0
0 days 00:00:27.500827904,2610151424.0,4215345152.0,16569118720.0,16220356608.0,7484903424.0
0 days 00:00:27.501000192,2610151424.0,3281383424.0,16569118720.0,16220356608.0,7484903424.0
0 days 00:00:28.000108032,2834636800.0,3281383424.0,16569118720.0,16220356608.0,7484903424.0
0 days 00:00:28.000244992,2834636800.0,3281383424.0,16569118720.0,16220356608.0,7793745920.0
0 days 00:00:28.000479744,2834636800.0,3281383424.0,16831418368.0,16220356608.0,7793745920.0
0 days 00:00:28.000584192,2834636800.0,3281383424.0,16831418368.0,17153232896.0,7793745920.0
0 days 00:00:28.000850176,2834636800.0,3258687488.0,16831418368.0,17153232896.0,7793745920.0
0 days 00:00:28.500252928,2834636800.0,3258687488.0,16831418368.0,17153232896.0,7705894912.0
0 days 00:00:28.500306176,2834636800.0,3833737216.0,16831418368.0,17153232896.0,7705894912.0
0 days 00:00:28.500456704,2834636800.0,3833737216.0,17175846912.0,17153232896.0,7705894912.0
0 days 00:00:28.500923136,2779131904.0,3833737216.0,17175846912.0,17153232896.0,7705894912.0
0 days 00:00:28.501131264,2779131904.0,3833737216.0,17175846912.0,18006974464.0,7705894912.0
0 days 00:00:29.000127744,2779131904.0,3833737216.0,17106145280.0,18006974464.0,7705894912.0
0 days 00:00:29.000876800,2779131904.0,3833737216.0,17106145280.0,18006974464.0,7777652736.0
0 days 00:00:29.000944128,2779131904.0,3699679232.0,17106145280.0,18006974464.0,7777652736.0
0 days 00:00:29.001118208,2939846656.0,3699679232.0,17106145280.0,18006974464.0,7777652736.0
